,nt_dsc_estrut_fisic_ambiencia,nt_dsc_adap_defic_fisic_idosos,nt_dsc_equipamentos,nt_dsc_medicamentos,cnes
992,1,2,1,2,2046520
993,3,2,1,2,2264811
994,2,2,1,2,2790238
995,1,1,2,2,2369575
996,1,1,1,2,2014394
997,1,1,1,2,5476984
998,1,2,1,2,2479354
999,2,2,1,2,2125935
1000,1,1,3,2,2369680
1001,1,1,2,2,2279665
1002,3,3,2,2,2201011
1003,3,3,1,2,2607123
1004,1,1,2,2,2343924
1005,2,1,1,2,2236842
1006,2,1,2,2,2632691
1007,3,3,3,2,2774038
1008,3,2,2,2,6006442
1009,3,3,1,2,2251809
1010,3,3,3,2,4050002
1011,2,2,1,2,2227525
1012,1,1,1,2,2015528
1013,3,1,1,2,5473985
1014,2,1,1,2,6135498
1015,2,3,1,2,2049252
1016,2,2,1,2,2039389
1017,3,3,1,2,2184559
1018,2,2,1,2,2303019
1019,2,3,1,2,2506777
1020,1,1,1,2,2355779
1021,2,2,1,2,2663910
1022,3,2,1,2,2179008
1023,2,1,1,2,5714745
1024,2,2,1,2,2213613
1025,2,3,1,2,2456192
1026,3,1,2,2,2073021
1027,1,1,1,2,2633604
1028,1,2,1,2,2372371
1029,2,1,2,2,2419025
1030,1,1,1,2,2522799
1031,1,2,2,2,2426463
1032,3,3,1,2,2561549
1033,1,1,1,2,2742497
1034,3,2,1,2,4049950
1035,1,1,2,2,3842282
1036,1,3,2,2,3822796
1037,2,2,1,2,3565475
1038,1,1,1,2,2556901
1039,1,1,2,2,3538567
1040,2,2,1,2,6308813
1041,2,1,2,2,6422276
1042,2,3,1,2,6675883
1043,1,2,1,2,6364217
1044,3,3,2,2,6568629
1045,1,2,1,2,2373181
1046,1,1,2,2,2615118
1047,2,3,1,2,6852769
1048,2,1,1,2,2742721
1049,3,2,1,2,14176
1050,2,3,1,2,2744260
1051,3,3,1,2,6893074
1052,2,1,2,2,2711206
1053,1,1,2,2,2115352
1054,2,3,2,2,2248484
1055,3,2,2,2,2205106
1056,3,2,1,2,2611155
1057,3,3,1,2,6852203
1058,2,2,1,2,2347989
1059,3,2,1,2,2169800
1060,1,1,1,2,2536641
1061,1,2,1,2,8005478
1062,1,2,1,2,3752283
1063,1,2,1,2,2609096
1064,1,1,1,2,5621801
1065,1,2,1,2,5013909
1066,2,1,1,2,3562212
1067,2,2,1,2,6459412
1068,3,2,1,2,2501902
1069,3,3,3,2,6569978
1070,3,1,1,2,6592791
1071,1,1,1,2,2015005
1072,3,2,1,2,2057913
1073,1,1,1,2,2742314
1074,3,2,1,2,2185083
1075,1,1,2,2,2424355
1076,1,2,2,2,2730790
1077,2,3,3,2,3060101
1078,3,2,1,2,2396688
1079,1,2,1,2,2224275
1080,3,1,1,2,2746743
1081,3,1,1,2,17531
1082,3,1,1,2,4018311
1083,3,2,3,2,2377519
1084,2,3,1,2,4070100
1085,3,3,1,2,2748738
1086,2,1,1,2,2665549
1087,1,1,1,2,2528533
1088,3,2,1,2,2008599
1089,2,2,2,2,3063712
1090,1,1,2,2,2564467
1091,2,3,1,2,2658186
1092,2,3,1,2,2310325
1093,2,1,1,2,2148137
1094,2,2,1,2,2753111
1095,2,1,1,2,2153831
1096,2,1,2,2,2402149
1097,3,2,1,2,5331099
1098,3,3,1,2,5326737
1099,2,3,3,2,3148343
1100,1,1,2,2,6248314
1101,1,2,2,2,2479656
1102,3,2,2,2,2479664
1103,2,2,1,2,2599953
1104,3,1,1,2,8168
1105,1,3,1,2,2264382
1106,3,2,1,2,3809315
1107,3,2,2,2,2064804
1108,1,3,3,2,2414279
1109,3,3,1,2,2512173
1110,2,1,1,2,2256444
1111,3,2,1,2,2040905
1112,2,1,2,2,2219107
1113,3,1,2,2,2031655
1114,1,3,2,2,23108
1115,2,1,2,2,2604817
1116,2,1,2,2,2248921
1117,1,2,1,2,2508923
1118,1,2,2,2,2269031
1119,3,2,1,2,1759
1120,2,1,1,2,2343908
1121,3,2,1,2,4011473
1122,1,1,1,2,3334406
1123,2,2,2,2,2396874
1124,3,3,1,2,2549344
1125,1,2,2,2,2726033
1126,1,1,2,2,2412195
1127,2,1,1,2,2098245
1128,2,1,1,2,2764075
1129,1,3,1,2,2225603
1130,2,1,3,2,2635321
1131,2,2,1,2,5276705
1132,2,3,1,2,2206250
1133,2,1,1,2,2221748
1134,3,1,2,2,2032333
1135,3,2,1,2,2291347
1136,2,1,1,2,4011155
1137,1,1,1,2,2739372
1138,3,3,3,2,8010838
1139,1,1,2,2,2381893
1140,2,3,1,2,2155710
1141,1,1,1,2,2522861
1142,2,1,2,2,2168677
1143,1,1,1,2,5915503
1144,2,2,2,2,2213095
1145,3,2,1,2,2083620
1146,2,1,1,2,3968561
1147,2,1,1,2,3464415
1148,2,1,1,2,3998843
1149,2,3,1,2,2398109
1150,2,2,1,2,2330458
1151,1,2,2,2,2429071
1152,1,2,1,2,3571114
1153,1,1,2,2,3919811
1154,2,3,2,2,2387719
1155,1,2,1,2,3059138
1156,3,1,1,2,3409902
1157,2,2,1,2,2611031
1158,2,2,1,2,2771209
1159,3,1,2,2,3396592
1160,2,3,1,2,3444651
1161,3,3,1,2,6712746
1162,3,3,1,2,6377238
1163,3,2,1,2,2678632
1164,2,2,1,2,6465374
1165,2,1,2,2,2115301
1166,1,2,1,2,6387152
1167,3,2,1,2,6802478
1168,2,2,1,2,6829821
1169,3,1,1,2,2571773
1170,2,2,1,2,3000699
1171,2,2,1,2,2711354
1172,3,3,3,2,22586
1173,3,2,3,2,2039036
1174,3,1,2,2,2468751
1175,1,2,1,2,2475235
1176,1,2,2,2,3029239
1177,2,3,1,2,2502305
1178,3,3,1,2,6943551
1179,3,2,3,2,3905578
1180,1,2,1,2,2184753
1181,3,2,3,2,2700999
1182,1,2,1,2,2146266
1183,2,1,1,2,2445018
1184,2,3,1,2,6956246
1185,1,2,2,2,2160269
1186,2,3,1,2,2300419
1187,2,1,2,2,2630702
1188,2,1,1,2,2467976
1189,1,1,2,2,2413906
1190,2,2,1,2,2606445
1191,3,3,1,2,2785455
1192,2,3,1,2,5841771
1193,1,2,1,2,2481162
1194,3,1,1,2,3097722
1195,2,1,2,2,2364069
1196,1,1,3,2,2529181
1197,3,2,1,2,18791
1198,2,3,2,2,19747
1199,2,1,3,2,2634678
1200,2,3,1,2,2049473
1201,2,1,1,2,2721767
1202,2,1,1,2,3046036
1203,3,2,1,2,2441632
1204,1,2,2,2,3666484
1205,2,3,1,2,2603365
1206,1,3,2,2,2480328
1207,1,2,1,2,2025515
1208,3,1,3,2,2042185
1209,2,1,1,2,3136876
1210,3,2,1,2,2611279
1211,1,2,1,2,2723883
1212,3,1,2,2,17000
1213,2,3,1,2,2500175
1214,2,1,2,2,2621134
1215,1,1,2,2,2683555
1216,3,1,1,2,2260301
1217,2,2,2,2,2304309
1218,1,2,1,2,2707551
1219,2,2,1,2,2768143
1220,3,2,1,2,2287684
1221,2,3,1,2,2375982
1222,2,3,2,2,2476894
1223,1,1,2,2,2630478
1224,3,2,2,2,2164949
1225,1,3,2,2,2778416
1226,2,1,1,2,5011809
1227,1,3,2,2,2546450
1228,1,2,1,2,3004694
1229,3,1,2,2,2504960
1230,3,1,1,2,2272008
1231,1,1,1,2,2261286
1232,1,1,1,2,6056717
1233,2,2,1,2,2122871
1234,1,2,1,2,5860857
1235,2,1,1,2,5931614
1236,3,1,1,2,22039
1237,2,1,1,2,2735512
1238,2,1,1,2,5088682
1239,3,3,1,2,2279959
1240,2,1,1,2,2818574
1241,2,2,2,2,2095815
1242,1,1,1,2,2633418
1243,3,1,1,2,2062100
1244,2,1,1,2,2326531
1245,1,2,1,2,2116456
1246,2,2,1,2,2699273
1247,2,2,1,2,3438260
1248,1,1,2,2,8015600
1249,1,1,2,2,2681471
1250,3,1,3,2,2527316
1251,3,3,1,2,4049241
1252,2,2,1,2,2565366
1253,1,2,1,2,2398346
1254,1,2,1,2,2736861
1255,3,3,1,2,2261715
1256,2,3,1,2,5739276
1257,1,1,3,2,2003481
1258,1,1,1,2,2003511
1259,3,1,2,2,2504626
1260,2,2,2,2,2135310
1261,1,2,1,2,5921686
1262,3,2,1,2,2396335
1263,1,2,1,2,5723841
1264,2,3,1,2,2481170
1265,1,1,1,2,5747406
1266,3,2,2,2,2397412
1267,2,2,1,2,3975827
1268,1,2,2,2,3310728
1269,1,3,1,2,2632373
1270,2,1,1,2,2389339
1271,2,3,1,2,3465748
1272,2,1,1,2,2494884
1273,2,1,1,2,6036252
1274,2,1,2,2,6292666
1275,2,1,1,2,6767079
1276,1,1,2,2,6670997
1277,1,2,2,2,4061888
1278,1,2,1,2,2251523
1279,3,1,2,2,2753073
1280,3,3,2,2,24163
1281,2,2,1,2,6801153
1282,2,1,1,2,3994031
1283,3,1,2,2,2665573
1284,2,1,1,2,2379554
1285,1,1,1,2,6219632
1286,2,1,2,2,2663848
1287,2,1,3,2,2622610
1288,3,2,1,2,2621290
1289,2,1,1,2,2314312
1290,1,1,2,2,2368587
1291,2,2,3,2,2712512
1292,1,1,2,2,5502721
1293,1,2,1,2,6744478
1294,3,2,2,2,6502695
1295,2,1,3,2,2233150
1296,2,1,1,2,2554127
1297,3,3,3,2,2017520
1298,1,2,1,2,4029828
1299,1,1,3,2,2730774
1300,3,3,2,2,2061007
1301,3,1,1,2,3174700
1302,1,2,1,2,2632861
1303,3,1,1,2,2447819
1304,1,1,1,2,2610914
1305,2,1,1,2,2577828
1306,1,1,2,2,2028514
1307,3,1,1,2,2390558
1308,2,2,1,2,2422875
1309,2,2,1,2,2285274
1310,3,3,1,2,2055600
1311,3,1,1,2,3035506
1312,1,1,1,2,10731
1313,1,1,2,2,2772582
1314,2,1,1,2,2145626
1315,2,2,2,2,2076284
1316,2,2,1,2,2204606
1317,2,3,1,2,5304679
1318,1,2,1,2,2109840
1319,2,3,2,2,3357449
1320,2,3,1,2,6190332
1321,2,2,2,2,5342244
1322,2,2,1,2,6127843
1323,1,1,1,2,6311970
1324,2,1,1,2,10782
1325,2,1,1,2,3685500
1326,1,1,2,2,10863
1327,2,1,1,2,2590387
1328,1,1,1,2,2733056
1329,2,2,1,2,2032511
1330,1,1,1,2,3126099
1331,2,1,1,2,2450828
1332,1,2,1,2,2774801
1333,3,3,1,2,6974724
1334,3,3,1,2,6993508
1335,2,1,1,2,4022114
1336,2,1,1,2,2264226
1337,1,2,1,2,8621
1338,2,1,1,2,2311917
1339,3,2,1,2,2447339
1340,1,2,2,2,2553031
1341,3,2,1,2,2243695
1342,1,2,1,2,2435942
1343,1,3,1,2,2439719
1344,1,2,1,2,2379589
1345,3,1,1,2,2251272
1346,3,3,3,2,2005328
1347,2,2,1,2,2044366
1348,1,1,2,2,6331807
1349,1,1,2,2,2037270
1350,3,2,3,2,2591537
1351,3,2,1,2,2054620
1352,2,1,1,2,2183609
1353,2,3,2,2,2665905
1354,1,1,1,2,2271915
1355,1,2,1,2,2620766
1356,1,3,2,2,2372649
1357,2,2,1,2,2003422
1358,2,3,1,2,2044714
1359,3,3,1,2,2477777
1360,3,1,2,2,5224896
1361,3,2,1,2,2322471
1362,2,1,1,2,5132223
1363,2,1,1,2,5147956
1364,2,3,1,2,2075121
1365,1,2,2,2,2503611
1366,2,1,1,2,2261324
1367,2,3,1,2,2136309
1368,2,1,1,2,2261510
1369,2,2,1,2,5882435
1370,1,1,2,2,2638193
1371,2,1,2,2,2754401
1372,2,2,1,2,2171740
1373,2,1,2,2,2200988
1374,2,2,1,2,2007460
1375,2,2,1,2,2647435
1376,1,2,2,2,5914191
1377,1,2,1,2,2296802
1378,2,2,1,2,5246032
1379,1,1,1,2,3820599
1380,1,2,1,2,2010437
1381,1,1,2,2,2497840
1382,3,2,1,2,3591042
1383,1,2,1,2,2307278
1384,2,3,1,2,2292467
1385,2,1,1,2,2354217
1386,3,1,1,2,2534290
1387,1,1,1,2,2268124
1388,2,1,1,2,6279902
1389,1,2,1,2,2429608
1390,1,1,1,2,6667554
1391,1,1,1,2,2415380
1392,1,1,2,2,2294222
1393,1,1,1,2,2030810
1394,1,1,1,2,5355494
1395,1,2,1,2,3585042
1396,2,1,1,2,8010021
1397,1,1,1,2,2414112
1398,3,1,1,2,3005577
1399,3,2,3,2,2382202
1400,2,3,1,2,6806678
1401,2,3,2,2,2481197
1402,2,1,3,2,2552019
1403,3,2,1,2,9075
1404,1,2,1,2,2322641
1405,2,1,1,2,2233800
1406,2,3,1,2,6917771
1407,2,2,1,2,6889093
1408,3,3,1,2,6855806
1409,3,3,1,2,6873960
1410,3,2,1,2,6853072
1411,3,2,1,2,2772078
1412,1,2,2,2,5583136
1413,2,2,1,2,5250447
1414,1,2,1,2,2550407
1415,3,2,1,2,5519616
1416,3,2,3,2,5526922
1417,2,1,1,2,6320082
1418,2,1,1,2,2577534
1419,2,1,1,2,2506394
1420,3,2,1,2,2245051
1421,1,1,2,2,2237911
1422,1,2,1,2,8011206
1423,3,3,2,2,2552647
1424,3,1,1,2,4053176
1425,3,2,2,2,2651742
1426,2,2,2,2,2725975
1427,1,1,2,2,2633876
1428,2,2,1,2,2303094
1429,1,1,2,2,2778696
1430,2,1,1,2,2408856
1431,2,1,2,2,2234807
1432,3,1,1,2,6225837
1433,3,3,1,2,2251124
1434,1,3,2,2,2048736
1435,3,2,1,2,6443214
1436,2,1,1,2,2136147
1437,2,3,1,2,2102994
1438,3,3,1,2,2788527
1439,1,1,1,2,6190278
1440,1,2,3,2,5285828
1441,2,2,1,2,2181584
1442,3,3,1,2,2387239
1443,1,2,2,2,3186156
1444,1,2,1,2,2480123
1445,3,3,1,2,2773058
1446,1,1,1,2,2742829
1447,2,3,1,2,2398699
1448,3,2,2,2,2396947
1449,1,2,1,2,2401002
1450,1,1,1,2,2015633
1451,2,2,1,2,2790149
1452,2,1,2,2,19852
1453,3,3,3,2,2249715
1454,1,1,1,2,2014343
1455,2,3,1,2,2212501
1456,2,1,1,2,2441071
1457,1,1,1,2,2446839
1458,2,3,1,2,2519984
1459,3,3,1,2,2483904
1460,2,3,2,2,2169479
1461,3,2,1,2,2236869
1462,1,1,1,2,2723298
1463,1,2,1,2,2183048
1464,1,1,2,2,3560473
1465,2,1,1,2,25593
1466,2,1,1,2,2346192
1467,1,1,1,2,5949424
1468,2,1,1,2,2379708
1469,2,1,1,2,2239590
1470,2,1,1,2,2449145
1471,1,2,1,2,2012634
1472,2,2,1,2,2227401
1473,2,3,1,2,2423219
1474,3,1,1,2,2743256
1475,1,1,2,2,2804956
1476,2,1,1,2,5925584
1477,2,1,1,2,2207869
1478,3,2,2,2,2587572
1479,1,1,2,2,3005380
1480,2,1,1,2,2291762
1481,2,3,1,2,2203049
1482,2,1,3,2,2418568
1483,2,2,1,2,4061322
1484,3,1,2,2,2427206
1485,2,1,2,2,2714876
1486,2,1,2,2,2193140
1487,1,2,2,2,2725576
1488,1,1,1,2,6795269
1489,2,3,1,2,3048187
1490,1,1,1,2,2549859
1491,2,3,1,2,2403757
1492,2,1,1,2,21938
1493,2,2,2,2,3390942
1494,2,1,1,2,3003639
1495,2,3,1,2,6665128
1496,3,3,1,2,6830455
1497,1,1,1,2,2290618
1498,3,3,1,2,2122359
1499,1,2,2,2,6055036
1500,2,1,2,2,5932416
1501,1,1,2,2,6267939
1502,1,1,2,2,2362333
1503,2,1,1,2,2267667
1504,1,2,1,2,2092425
1505,3,2,1,2,2224240
1506,3,3,1,2,2440636
1507,3,2,1,2,2383047
1508,3,1,2,2,2312239
1509,2,2,1,2,2441608
1510,3,3,1,2,2083744
1511,1,2,1,2,2532107
1512,2,1,1,2,2593750
1513,3,3,1,2,2673126
1514,1,2,1,2,6360270
1515,2,2,1,2,2227444
1516,1,1,2,2,2373203
1517,2,1,1,2,2420791
1518,1,2,1,2,6876811
1519,2,2,2,2,2061805
1520,2,2,1,2,6937756
1521,3,1,1,2,21466
1522,1,2,1,2,2563274
1523,1,2,1,2,2610817
1524,3,1,2,2,5456215
1525,2,1,1,2,6562868
1526,1,1,1,2,6749151
1527,2,1,1,2,2505428
1528,1,1,2,2,2610426
1529,3,3,2,2,2028263
1530,1,1,2,2,2305259
1531,3,1,2,2,2402750
1532,1,1,1,2,3091139
1533,2,3,1,2,2513218
1534,2,2,1,2,2124327
1535,2,3,1,2,2392089
1536,1,2,1,2,4019318
1537,3,3,2,2,3048640
1538,1,1,1,2,5771587
1539,2,3,1,2,2699958
1540,2,2,1,2,2665719
1541,3,3,2,2,2818760
1542,2,2,2,2,3037177
1543,3,2,1,2,2234297
1544,1,2,1,2,2592533
1545,2,1,2,2,4012593
1546,2,1,1,2,2218917
1547,3,1,1,2,2702649
1548,2,1,1,2,6194095
1549,2,2,1,2,6268331
1550,1,2,1,2,5309492
1551,1,2,1,2,2725843
1552,1,1,2,2,6237770
1553,2,1,1,2,2631806
1554,1,1,1,2,5345529
1555,1,1,2,2,3749819
1556,2,1,1,2,2439522
1557,2,2,1,2,2086476
1558,2,1,1,2,2439743
1559,2,1,1,2,2533103
1560,1,1,1,2,2514133
1561,1,1,1,2,6229131
1562,1,1,3,2,2836
1563,1,2,1,2,2453940
1564,2,1,1,2,2638746
1565,3,3,1,2,2249707
1566,1,1,3,2,2672960
1567,3,3,2,2,22616
1568,3,1,2,2,2726238
1569,2,3,1,2,2142082
1570,2,1,2,2,2413868
1571,2,1,1,2,2413604
1572,2,1,1,2,2354233
1573,1,2,1,2,2293870
1574,2,1,1,2,2337002
1575,3,2,1,2,6412718
1576,1,2,1,2,2482681
1577,1,1,1,2,5831040
1578,2,1,1,2,2161915
1579,2,2,1,2,2704862
1580,3,2,1,2,2321394
1581,1,2,2,2,2556588
1582,2,2,1,2,2647338
1583,2,2,1,2,2557290
1584,2,1,1,2,4050029
1585,1,1,1,2,2427982
1586,2,2,1,2,2286424
1587,1,2,1,2,2726114
1588,3,3,1,2,2557193
1589,2,2,2,2,2726092
1590,3,1,1,2,4056418
1591,3,1,1,2,2181134
1592,3,1,1,2,2712377
1593,1,3,2,2,2555530
1594,3,3,2,2,2223716
1595,2,1,1,2,2635437
1596,1,2,1,2,2042797
1597,3,3,1,2,2038420
1598,3,2,1,2,2507609
1599,1,1,2,2,5100526
1600,1,1,2,2,2445484
1601,2,2,1,2,2181126
1602,2,1,2,2,2726475
1603,1,1,1,2,2696770
1604,2,1,1,2,2441039
1605,3,1,2,2,2570106
1606,1,2,2,2,2019515
1607,1,2,2,2,2407876
1608,2,1,1,2,2194783
1609,2,1,1,2,2238144
1610,2,2,1,2,2426617
1611,2,2,1,2,3039536
1612,1,2,1,2,2666278
1613,2,1,1,2,2301199
1614,3,1,2,2,3495981
1615,2,2,2,2,3904806
1616,2,1,1,2,2445638
1617,2,2,1,2,3173828
1618,1,1,2,2,2528436
1619,3,1,1,2,2327724
1620,2,1,1,2,3244938
1621,1,2,2,2,6217737
1622,1,2,1,2,6275257
1623,3,3,2,2,2396122
1624,3,1,1,2,2245809
1625,2,2,1,2,6751210
1626,2,2,1,2,6740510
1627,2,1,1,2,2332426
1628,3,1,1,2,2637227
1629,1,1,2,2,2085097
1630,2,3,1,2,6815359
1631,3,1,1,2,2266792
1632,1,2,1,2,6800181
1633,3,2,1,2,2459922
1634,1,2,1,2,2237059
1635,1,3,2,2,2469308
1636,2,1,1,2,2364
1637,3,2,1,2,2246546
1638,1,1,2,2,2244950
1639,2,1,1,2,2212412
1640,1,1,1,2,3144615
1641,2,1,1,2,2715589
1642,1,3,2,2,2483335
1643,1,3,1,2,5407877
1644,1,1,2,2,5996600
1645,1,1,2,2,2664208
1646,1,2,3,2,2372223
1647,3,1,1,2,6515878
1648,2,3,2,2,2007177
1649,3,2,1,2,2153424
1650,3,3,2,2,2442264
1651,2,1,1,2,2690357
1652,2,1,3,2,2513161
1653,1,2,1,2,2583399
1654,1,1,2,2,3419037
1655,2,1,1,2,2387085
1656,3,3,1,2,5617219
1657,3,2,1,2,9032
1658,1,1,1,2,2015749
1659,1,1,2,2,2787636
1660,3,2,2,2,2654520
1661,2,2,1,2,2532565
1662,1,1,1,2,11355
1663,3,3,1,2,2248948
1664,1,1,2,2,2298813
1665,1,1,1,2,5323924
1666,3,3,2,2,2180707
1667,2,1,1,2,2768607
1668,2,1,2,2,2612984
1669,2,1,2,2,2479850
1670,2,1,1,2,2598515
1671,1,2,1,2,3536769
1672,1,2,1,2,3092852
1673,3,2,1,2,2533421
1674,2,2,1,2,2526999
1675,1,2,1,2,3881032
1676,1,2,2,2,4012976
1677,3,2,2,2,2389568
1678,1,1,1,2,3843467
1679,2,2,1,2,2264633
1680,1,2,1,2,2400952
1681,3,1,1,2,2038862
1682,2,1,1,2,13218
1683,2,1,1,2,3101711
1684,2,2,2,2,4033981
1685,1,2,1,2,2771489
1686,3,3,2,2,2769573
1687,2,2,1,2,2674823
1688,1,1,2,2,24007
1689,3,1,1,2,817
1690,1,1,1,2,868
1691,3,1,1,2,2259273
1692,2,3,3,2,2043874
1693,2,2,1,2,2042967
1694,1,1,3,2,4050398
1695,2,3,1,2,3532194
1696,2,1,1,2,2785307
1697,1,2,1,2,6339166
1698,1,1,2,2,2367645
1699,2,3,1,2,2700085
1700,1,2,1,2,2475189
1701,1,3,1,2,2143550
1702,3,3,1,2,2752387
1703,2,3,1,2,2026872
1704,3,1,1,2,5767970
1705,2,1,1,2,2739216
1706,3,3,1,2,2787628
1707,3,2,1,2,2763907
1708,2,2,1,2,6220711
1709,2,2,1,2,2704803
1710,3,1,2,2,5877202
1711,3,1,1,2,5915201
1712,1,1,2,2,2356236
1713,2,1,1,2,2749343
1714,1,1,2,2,2451921
1715,2,2,1,2,2791277
1716,3,1,1,2,2583895
1717,2,1,1,2,2528029
1718,1,1,1,2,2408929
1719,2,1,2,2,5160685
1720,3,1,1,2,2303639
1721,1,1,1,2,2015110
1722,1,1,2,2,2369648
1723,1,2,1,2,2064383
1724,2,2,1,2,2788004
1725,2,2,1,2,2262185
1726,2,2,1,2,6008267
1727,3,2,2,2,2101386
1728,2,2,1,2,2591529
1729,1,3,1,2,2092565
1730,1,2,1,2,2290359
1731,2,1,1,2,2120623
1732,1,1,1,2,2736845
1733,2,2,1,2,2183129
1734,1,1,2,2,2535998
1735,2,1,1,2,21547
1736,2,1,1,2,2449730
1737,2,3,1,2,3369331
1738,2,1,1,2,3505731
1739,2,1,1,2,6379982
1740,2,2,1,2,3009173
1741,3,1,1,2,3554570
1742,2,1,1,2,2403811
1743,2,1,1,2,2463377
1744,1,2,1,2,2611546
1745,1,2,1,2,6831443
1746,1,2,1,2,6794092
1747,1,2,3,2,6642713
1748,3,1,1,2,3123
1749,1,1,2,2,2621118
1750,2,1,1,2,6703518
1751,3,2,1,2,2425963
1752,1,1,1,2,3402835
1753,1,2,1,2,2092182
1754,3,1,2,2,2576937
1755,1,2,2,2,22853
1756,3,3,1,2,2440024
1757,1,1,2,2,2597276
1758,1,1,2,2,2764199
1759,1,2,2,2,2440008
1760,1,2,2,2,2207788
1761,3,2,1,2,2133881
1762,1,1,2,2,2499290
1763,1,1,1,2,2473097
1764,3,2,1,2,2045397
1765,2,3,1,2,5309719
1766,2,1,3,2,2481618
1767,1,3,1,2,5890136
1768,3,3,2,2,3947807
1769,3,1,1,2,6531504
1770,3,1,1,2,6585884
1771,1,2,2,2,6566707
1772,1,2,1,2,6668267
1773,3,3,1,2,6703364
1774,3,2,1,2,6739210
1775,2,1,2,2,2216698
1776,3,3,1,2,2153963
1777,1,1,1,2,2797062
1778,1,2,1,2,2410451
1779,2,2,1,2,2788357
1780,3,2,1,2,4049993
1781,3,2,1,2,8826
1782,1,1,1,2,2062240
1783,2,1,2,2,2638185
1784,1,2,2,2,2376482
1785,3,1,2,2,2098970
1786,1,1,1,2,2015706
1787,1,1,1,2,2511614
1788,1,2,2,2,2647389
1789,2,1,1,2,21415
1790,3,2,1,2,2041693
1791,2,2,1,2,2100282
1792,3,2,3,2,3369137
1793,2,3,1,2,2186314
1794,3,2,1,2,2202972
1795,1,2,1,2,2373416
1796,3,2,1,2,6306365
1797,2,1,2,2,4006143
1798,1,3,2,2,2329956
1799,1,3,2,2,3728870
1800,2,2,1,2,2417316
1801,2,2,1,2,2417243
1802,2,1,1,2,3111075
1803,3,1,1,2,2772000
1804,3,2,1,2,3004392
1805,3,1,1,2,2422212
1806,3,3,1,2,2050196
1807,2,2,1,2,2265028
1808,1,1,1,2,2555123
1809,2,1,1,2,2401835
1810,3,3,2,2,2512483
1811,1,2,1,2,2587564
1812,2,1,1,2,2756315
1813,2,3,3,2,2203782
1814,1,1,2,2,2735652
1815,2,1,1,2,2369605
1816,1,1,2,2,29130
1817,1,1,2,2,2370727
1818,2,2,1,2,2731630
1819,2,2,1,2,2028441
1820,2,1,1,2,2754630
1821,2,3,1,2,2160684
1822,2,3,1,2,2236788
1823,2,1,1,2,5812879
1824,2,2,1,2,2381982
1825,1,1,2,2,2274388
1826,3,2,1,2,2789043
1827,3,1,1,2,2171805
1828,2,1,1,2,2632004
1829,2,2,1,2,2070960
1830,1,2,3,2,2556529
1831,2,3,1,2,2502364
1832,3,3,3,2,2036061
1833,1,1,1,2,2687275
1834,2,2,1,2,2684586
1835,3,1,2,2,2487047
1836,2,3,1,2,2024454
1837,1,2,1,2,6636381
1838,1,3,1,2,2126028
1839,1,1,3,2,12173
1840,3,2,1,2,2209101
1841,3,3,1,2,2134454
1842,2,1,1,2,2425661
1843,2,1,1,2,3508609
1844,1,1,2,2,3415058
1845,3,1,1,2,2418282
1846,1,2,1,2,3517306
1847,3,3,1,2,6312586
1848,1,1,1,2,2230054
1849,3,2,1,2,3051900
1850,1,1,2,2,3491137
1851,1,1,1,2,3494136
1852,1,1,2,2,2369672
1853,1,2,1,2,3434400
1854,1,2,1,2,2424436
1855,1,1,1,2,2364557
1856,3,1,1,2,3706567
1857,2,2,1,2,2196352
1858,1,1,1,2,2404648
1859,3,3,1,2,2666111
1860,2,1,1,2,2056836
1861,3,1,1,2,2053985
1862,2,2,1,2,3037266
1863,2,2,1,2,2800640
1864,3,1,1,2,6922252
1865,2,1,1,2,2677245
1866,2,3,1,2,4024966
1867,3,1,1,2,2264412
1868,1,1,1,2,4070453
1869,3,2,2,2,6835333
1870,1,2,3,2,6445519
1871,3,2,1,2,2479753
1872,2,2,1,2,5403219
1873,3,1,2,2,5325994
1874,2,2,1,2,2723719
1875,3,1,1,2,2742527
1876,1,1,2,2,2008122
1877,2,1,1,2,2251566
1878,2,1,1,2,3043584
1879,1,1,1,2,2485419
1880,1,2,1,2,2221705
1881,3,2,1,2,2071738
1882,1,1,2,2,2714620
1883,2,3,2,2,2730839
1884,2,3,3,2,17388
1885,1,2,1,2,2237040
1886,3,3,1,2,2817853
1887,1,2,1,2,2161818
1888,1,2,1,2,2657481
1889,2,1,1,2,2345137
1890,2,2,1,2,2477505
1891,3,3,1,2,2543060
1892,2,1,1,2,2428326
1893,1,2,2,2,5997674
1894,1,1,2,2,5368766
1895,1,1,3,2,6133428
1896,1,3,1,2,5313902
1897,1,2,1,2,2479443
1898,2,1,2,2,5496780
1899,1,3,1,2,2270072
1900,2,1,1,2,13587
1901,1,3,1,2,2651998
1902,3,3,1,2,6986080
1903,1,1,2,2,2514060
1904,2,1,1,2,2429845
1905,3,3,2,2,2692139
1906,1,1,1,2,2015595
1907,2,2,1,2,2149915
1908,1,2,1,2,2561646
1909,3,1,2,2,2469251
1910,1,1,2,2,2287641
1911,1,1,1,2,2454882
1912,2,1,1,2,2607891
1913,1,1,3,2,2096269
1914,1,1,1,2,2405369
1915,1,1,3,2,3601889
1916,3,2,1,2,5760437
1917,3,2,1,2,2358786
1918,3,1,1,2,3163954
1919,2,1,1,2,3016374
1920,1,2,1,2,2285339
1921,1,1,2,2,2536676
1922,1,2,1,2,2090678
