,lat,long,cod_municipio,cnes,nom_estab,dsc_endereco,dsc_bairro,dsc_cidade,dsc_telefone,dsc_estrut_fisic_ambiencia,dsc_adap_defic_fisic_idosos,dsc_equipamentos,dsc_medicamentos,uf,cidade,no_fantasia,no_logradouro,no_bairro,cod_estado,nome_estado
138,-9.752,-36.661,270030,6964567,USF BRISA DO LAGO,RUA PROJETADA,OLHO DAGUA DOS CAJUZ,Arapiraca,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,AL,Arapiraca,USF BRISA DO LAGO FERNANDO LOURENCO,RUA PROJETADA - S/N,OLHO DAGUA DOS CAJUZ,27,Alagoas
139,-32.015,-52.042,431850,5602718,ESTRATEGIA SAUDE DA FAMILIA HELIO ROSSANO,RUA 02,5 SECCAO DA BARRA,São José do Norte,5332386097,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,São José do Norte,ESTRATEGIA SAUDE DA FAMILIA HELIO ROSSANO,RUA 02 - 310,5 SECCAO DA BARRA,43,Rio Grande do Sul
140,-31.588,-52.633,431245,2818469,POSTO DE SAUDE ARTHUR NEUBERT,RUA DAS HORTENCIAS,CENTRO,Morro Redondo,5332241174,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,RS,Morro Redondo,POSTO DE SAUDE ARTHUR NEUBERT,RUA DAS HORTENCIAS - 3,CENTRO,43,Rio Grande do Sul
141,-30.033,-51.23,431490,5007518,ESF RINCAO I,ESTRADA AFONSO LOURENCO MARIANTE,BELEM VELHO,Porto Alegre,32414770,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Porto Alegre,UNIDADE DE SAUDE RINCAO,ESTRADA AFONSO LOURENCO MARIANTE - 1262,BELEM VELHO,43,Rio Grande do Sul
142,-29.088,-53.213,431645,3314715,POSTO DE SAUDE HARMONIA MENINO DEUS,AVENIDA PIO XII,HARMONIA,Salto do Jacuí,5533271198,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Salto do Jacuí,POSTO DE SAUDE HARMONIA MENINO DEUS,AVENIDA PIO XII - 2904,HARMONIA,43,Rio Grande do Sul
143,-28.263,-52.407,431410,2246031,PSF LAVA PES PASSO FUNDO,RUA LAVA PES,VILA UNIAO,Passo Fundo,5433141269,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Passo Fundo,ESF OPERARIA,RUA ALFERES RODRIGO - 90,VILA OPERARIA,43,Rio Grande do Sul
144,-28.263,-52.407,431410,2246244,PSF VILA MATTOS PASSO FUNDO,RUA FELIPE MULITERNO,VILA MATTOS,Passo Fundo,5433157668,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Passo Fundo,ESF VILA MATTOS PASSO FUNDO,RUA FELIPE MULITERNO - S/N,VILA MATTOS,43,Rio Grande do Sul
145,-28.818,-52.51,432080,2245434,POSTO DE SAUDE UNIDADE CENTRAL,RUA BENJAMIN CONSTANT,CENTRO,Soledade,5433813788,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Soledade,POSTO DE SAUDE UNIDADE CENTRAL,RUA BENJAMIN CONSTANT - 69,CENTRO,43,Rio Grande do Sul
146,-27.787,-53.937,431973,2260301,POSTO DE SAUDE DE COROADOS,RUA SEPE TIARAJU,INTERIOR,São Valério do Sul,(55)37811915,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,São Valério do Sul,POSTO DE SAUDE DE COROADOS,RUA SEPE TIARAJU AV - 129,INTERIOR,43,Rio Grande do Sul
147,-31.588,-52.633,431245,2818574,POSTO DE SAUDE DR VITOR HUGO NUNES MANCINI,COLONIA ACOITA CAVALO,COLONIA,Morro Redondo,5332747033,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Morro Redondo,POSTO DE SAUDE DR VITOR HUGO NUNES MANCINI,COLONIA ACOITA CAVALO - S/N,COLONIA,43,Rio Grande do Sul
148,-32.035,-52.099,431560,2817853,CENTRO DE SAUDE DR PEDRO ARMANDO GATTI,RUA DOS VELEIROS,PARQUE MARINHA,Rio Grande,5332351012,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Rio Grande,CENTRO DE SAUDE DR PEDRO ARMANDO GATTI,RUA DOS VELEIROS - 300,PARQUE MARINHA,43,Rio Grande do Sul
149,-29.884,-54.825,430290,2242044,AMBULATORIO MUNICIPAL ARACI FREITAS EACS,RUA PAULO CUNHA,VILA CRUZEIRO,Cacequi,Não se aplica,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Cacequi,ESF ARACI FREITAS,RUA PAULO CUNHA - S/N,VILA CRUZEIRO,43,Rio Grande do Sul
150,-28.263,-52.407,431410,2246104,PSF PLANALTINA PASSO FUNDO,RUA DELMAR SITTONI,PLANALTINA,Passo Fundo,5433157669,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Passo Fundo,ESF PLANALTINA PASSO FUNDO,PROFESSORA LUCILE FRAGOSO DE ALBUQUERQUE - 253,PLANALTINA,43,Rio Grande do Sul
151,-31.365,-51.978,431880,2233126,POSTO DE SAUDE NAVEGANTES SAO LOURENCO DO SUL,RUA PRINCESA ISABEL,NAVEGANTES,São Lourenço do Sul,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,São Lourenço do Sul,ESF NAVEGANTES SAO LOURENCO DO SUL,AV PROF IZOLINA PASSOS - 995,NAVEGANTES,43,Rio Grande do Sul
152,-27.424,-52.673,430805,2248581,CENTRO DE SAUDE DE FAXINALZINHO,AVLIDO ARMANDO OLTRAMARI,CENTRO,Faxinalzinho,5435461025,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Faxinalzinho,CENTRO DE SAUDE DE FAXINALZINHO,AV LIDO ARMANDO OLTRAMARI - 1425,CENTRO,43,Rio Grande do Sul
153,-30.544,-52.522,430690,3803287,PSF PARAISO,RUA NESTOR MOURA JARDIM,COHAB,Encruzilhada do Sul,5137331295,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Encruzilhada do Sul,ESF PARAISO,RUA NESTOR MOURA JARDIM - 209,COHAB,43,Rio Grande do Sul
154,-30.033,-51.23,431490,6883184,UNIDADE BASICA DE SAUDE VILA DOS COMERCIARIOS,MOAB CALDAS,SANTA TEREZA,Porto Alegre,32894070,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Porto Alegre,UNIDADE DE SAUDE MOAB CALDAS,MOAB CALDAS - 400,SANTA TERESA,43,Rio Grande do Sul
155,-31.003,-52.05,430605,6299318,CENTRO DE SAUDE 24 HORAS CRISTAL,RUA PORTO ALEGRE,CRESPO,Cristal,5136781230,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Cristal,CENTRO DE SAUDE CRISTAL,RUA PORTO ALEGRE - 185,CRESPO,43,Rio Grande do Sul
156,-28.858,-51.283,430080,2236478,POSTO VILA SANTANA,EST JULIO DE CASTILHOS,2 DISTRITO,Antônio Prado,5438111070,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Antônio Prado,POSTO VILA SANTANA,EST JULIO DE CASTILHOS - S/N,2 DISTRITO,43,Rio Grande do Sul
157,-29.755,-57.088,432240,2247259,UNIDADE SANITARIA 15 HIPICA I E II,BRAZ LIMONGE,HIPICA I E II,Uruguaiana,(55) 4132838,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Uruguaiana,ESF 15 HIPICA I E II,BRAZ LIMONGE - 330,HIPICA I E II,43,Rio Grande do Sul
158,-27.359,-53.394,430850,6830072,POSTO DE SAUDE JARDIM PRIMAVERA,RUA ANALISIO BOSSONI,JARDIM PRIMAVERA,Frederico Westphalen,5537446303,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Frederico Westphalen,POSTO DE SAUDE JARDIM PRIMAVERA,RUA ANALISIO BOSSONI - 100,JARDIM PRIMAVERA,43,Rio Grande do Sul
159,-29.143,-56.065,431171,3418103,POSTO DE SAUDE DA SERRINHA,INTERIOR,INTERIOR,Maçambara,5536114038,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Maçambará,UBS SERRINHA,INTERIOR - S/N,INTERIOR,43,Rio Grande do Sul
160,-31.395,-52.676,430450,6801897,POSTO DE SAUDE NOVA GONCALVES,NOVA GONCALVES,2 DISTRITO,Canguçu,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Canguçu,POSTO DE SAUDE NOVA GONCALVES,NOVA GONCALVES - S/N,2 DISTRITO,43,Rio Grande do Sul
161,-32.035,-52.099,431560,6942695,UBSF BOLAXA,RUA ANA PERNOGOTTI,BOLAXA,Rio Grande,5332362506,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Rio Grande,UBSF BOLAXA,RUA ANA PERNOGOTTI - 320,BOLAXA,43,Rio Grande do Sul
162,-30.033,-51.23,431490,2264803,ESF LARANJEIRAS,RUA CINCO,MORRO SANTANA,Porto Alegre,33970510,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Porto Alegre,UNIDADE DE SAUDE LARANJEIRAS,RUA CINCO - 24,MORRO SANTANA,43,Rio Grande do Sul
163,-30.875,-52.253,430063,2232340,POSTO COXILHA AMARAL FERRADOR,COXILHA DO AMARAL FERRADOR,CENTRO,Amaral Ferrador,5136702004,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Amaral Ferrador,POSTO COXILHA AMARAL FERRADOR,COXILHA DO AMARAL FERRADOR - S/N,CENTRO,43,Rio Grande do Sul
164,-31.395,-52.676,430450,6801889,POSTO DE SAUDE COLONIA PALMA,COLONIA PALMA,5 DISTRITO,Canguçu,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Canguçu,POSTO DE SAUDE COLONIA PALMA,COLONIA PALMA - S/N,5 DISTRITO,43,Rio Grande do Sul
165,-30.033,-51.23,431490,2264978,ESF MATO GROSSO,RUA OCTAVIO DE SOUZA,TERESOPOLIS,Porto Alegre,5132662029,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Porto Alegre,UNIDADE DE SAUDE MATO GROSSO,RUA MOAB CALDAS - 400,SANTA TERESA,43,Rio Grande do Sul
166,-30.033,-51.23,431490,2237369,UNIDADE BASICA DE SAUDE BANANEIRAS,AV CEL APARICIO BORGES,GLORIA,Porto Alegre,5132895532,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Porto Alegre,UNIDADE DE SAUDE BANANEIRAS,AV CEL APARICIO BORGES - 2494,CORONEL APARICIO BOR,43,Rio Grande do Sul
167,-28.647,-54.122,431115,2260433,POSTO DE SAUDE SAO JOSE,SAO JOSE,SAO JOSE,Jóia,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Jóia,UNIDADE BASICA DE SAUDE SAO JOSE DE JOIA,SAO JOSE - S/N,INTERIOR,43,Rio Grande do Sul
168,-29.99,-52.378,431570,2235870,UNIDADE DE SAUDE CENTRAL,RUA ADOLFO PRITSCH,GUERINO,Rio Pardo,5137311324,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,RS,Rio Pardo,UNIDADE DE SAUDE CENTRAL,RUA ADOLFO PRITSCH - 504,GUERINO,43,Rio Grande do Sul
169,-30.891,-55.533,431710,3063143,POSTO DA VILA REAL,VICENTE ILHA DE VARGAS,VILA REAL,Santana do Livramento,5539681184,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Sant'Ana do Livramento,ESF VILA REAL VI,VICENTE ILHA DE VARGAS - S/N,VILA REAL,43,Rio Grande do Sul
170,-31.772,-52.343,431440,2253593,POSTO DE SAUDE AREAL FUNDOS,AV DOMINGOS DE ALMEIDA,AREAL,Pelotas,(53)2281227,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,RS,Pelotas,UBS AREAL FUNDOS UFPEL,AV DOMINGOS DE ALMEIDA - 4265,AREAL,43,Rio Grande do Sul
171,-29.614,-50.925,430087,3263142,PMS DOM INACIO DE LOYOLA ARARICA,AV JOSE ANTONIO DE OLIVEIRA NETO,CENTRO,Araricá,5135601440,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,RS,Araricá,UNIDADE BASICA DE SAUDE MARIA EDITH DA COSTA,JOSE APOLONIO DA COSTA - 723,ESTACAO,43,Rio Grande do Sul
172,-30.544,-52.522,430690,2233738,PSF LAVA PES,RUA SETE DE SETEMBRO,LAVA PES,Encruzilhada do Sul,5137331005,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Encruzilhada do Sul,POSTO DE SAUDE LAVA PES,AVENIDA RIO BRANCO - 312,CENTRO,43,Rio Grande do Sul
173,-29.76,-51.147,431870,2230739,UNIDADE BASICA DE SAUDE RIO DOS SINOS ESF,AV ATALIBIO TAURINO DE REZENDE,RIO DOS SINOS,São Leopoldo,5135921296,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,São Leopoldo,UNIDADE BASICA DE SAUDE RIO DOS SINOS ESF,AV ATALIBIO TAURINO DE REZENDE - 1157,RIO DOS SINOS,43,Rio Grande do Sul
174,-30.039,-52.894,430300,2266229,UNIDADE SANITARIA 11 BOSQUE,INTERIOR,BOSQUE,Cachoeira do Sul,(51)37222889,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Cachoeira do Sul,UNIDADE SANITARIA 11 BOSQUE,INTERIOR - S/N,BOSQUE,43,Rio Grande do Sul
175,-29.76,-51.147,431870,2230615,UNIDADE BASICA DE SAUDE COHAB DUQUE ESF,RUA FLAVIO JARDIM,COHAB DUQUE,São Leopoldo,5135884932,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,São Leopoldo,UNIDADE BASICA DE SAUDE COHAB DUQUE ESF,RUA JOSE OLMIRO DE ANDRADE - 160,COHAB DUQUE,43,Rio Grande do Sul
176,-29.884,-54.825,430290,2242087,UNIDADE PSF ANTONIO BOTTOM,RUA SANTOS DUMONT,VILA CANDIDO,Cacequi,5532541090,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Cacequi,ESF PADRE ANTONIO BOTTOM,RUA SANTOS DUMONT - S/N,VILA CANDIDO,43,Rio Grande do Sul
177,-31.003,-52.05,430605,6309437,UNIDADE BASICA DE SAUDE CRESCENDO COM A COMUNIDADE,VILA FORMOSA,VILA FORMOSA,Cristal,Não se aplica,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,RS,Cristal,UNIDADE BASICA DE SAUDE CRESCENDO COM A COMUNIDADE,VILA FORMOSA - S/N,VILA FORMOSA,43,Rio Grande do Sul
178,-30.033,-51.23,431490,8006873,USF MORRO DA CRUZ,25 DE JULHO,PARTENON,Porto Alegre,33181566,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Porto Alegre,UNIDADE DE SAUDE MORRO DA CRUZ,TRAVESSA 25 DE JULHO - 1526,PARTENON,43,Rio Grande do Sul
179,-31.588,-52.633,431245,2233231,POSTO DE SAUDE PALHA BRANCA,RUA DAS AZALEIAS,CENTRO,Morro Redondo,5332241104,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,RS,Morro Redondo,POSTO DE SAUDE PALHA BRANCA,RUA DAS AZALEIAS - S/N,CENTRO,43,Rio Grande do Sul
180,-28.449,-52.2,431180,3964728,PSF CENTRO RIGO,AVENIDA PRESIDENTE VARGAS,CENTRO,Marau,5433423136,Desempenho acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,RS,Marau,PSF CENTRO RIGO MARAU,AVENIDA PRESIDENTE VARGAS - 1676,CENTRO,43,Rio Grande do Sul
181,-25.195,-51.993,410865,2741490,POSTO DE SAUDE JACUTINGA,ZONA RURAL,ZONA RURAL,Goioxim,(42)6561098,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Goioxim,POSTO DE SAUDE JACUTINGA,AREA RURAL - S/N,JACUTINGA,41,Paraná
182,-25.881,-52.908,412860,2582651,CENTRO DE SAUDE NIS I VERE,AV GETULIO VARGAS,CENTRO,Verê,4635351317,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,PR,Verê,CENTRO DE SAUDE NIS I VERE,AV GETULIO VARGAS - S/N,CENTRO,41,Paraná
183,-25.881,-52.908,412860,2582651,CENTRO DE SAUDE NIS I VERE,AV GETULIO VARGAS,CENTRO,Verê,4635351317,Desempenho muito acima da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,PR,Verê,CENTRO DE SAUDE NIS I VERE,AV GETULIO VARGAS - S/N,CENTRO,41,Paraná
184,-25.395,-51.458,410940,2741679,CIA VILA CARLI,AV PROF PEDRO CARLI,VL CARLI,Guarapuava,36243440,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,PR,Guarapuava,ESF VILA CARLI,AV PROFESSOR PEDRO CARLI - 4645,CARLI,41,Paraná
185,-23.766,-53.325,412810,2649616,UNIDADE DE SAUDE DA FAMILIA 26 DE JUNHO,RUA SAGRADA FAMILIA,CONJUNTO 26 DE JUNHO,Umuarama,4439061065,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,PR,Umuarama,UNIDADE DE SAUDE DA FAMILIA 26 DE JUNHO,RUA SAGRADA FAMILIA - S/N,CONJUNTO 26 DE JUNHO,41,Paraná
186,-24.956,-53.455,410480,2736950,CENTRO DE SAUDE SANTOS DUMONT,RUA ALDOINO MACHADO,SANTOS DUMONT,Cascavel,4539022697,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,PR,Cascavel,USF SANTOS DUMONT,RUA PADRE DONIZETE - 119,SANTOS DUMONT,41,Paraná
187,-24.529,-53.256,411670,2739054,POSTO DE SAUDE ARNALDO BUSATO,RUA CURITIBA,DISTRITO DE MARAJO,Nova Aurora,4532430004,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Nova Aurora,UNIDADE BASICA DE SAUDE AFFONSO ROMEIRO,RUA CURITIBA - S/N,DISTRITO DE MARAJO,41,Paraná
188,-26.428,-51.316,410850,2549476,POSTO DE SAUDE JANGADA DO SUL,LOCALIDADE JANGADA DO SUL,ZONA RURAL,General Carneiro,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,General Carneiro,POSTO DE SAUDE JANGADA DO SUL,LOCALIDADE JANGADA DO SUL - 00,ZONA RURAL,41,Paraná
189,-25.395,-51.458,410940,2706180,PSF JORDAO,RUA PRINCIPAL,VL JORDAO,Guarapuava,36214552,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,PR,Guarapuava,ESF JORDAO,RUA ANITA PULGA - S/N,VL JORDAO,41,Paraná
190,-25.213,-50.978,412060,3208966,POSTO DE SAUDE BNH,RUA SANTA TEREZA,BNH,Prudentópolis,Não se aplica,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Prudentópolis,ESF CASA FELIZ,RUA SANTA TEREZA - 22,B N H,41,Paraná
191,-24.516,-51.668,411450,2587742,CENTRO MUNICIPAL DE SAUDE MANOEL RIBAS,RUA SETE DE SETEMBRO,CENTRO,Manoel Ribas,4334352842,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,PR,Manoel Ribas,CENTRO MUNICIPAL DE SAUDE MANOEL RIBAS,RUA SETE DE SETEMBRO - 454,CENTRO,41,Paraná
192,-26.081,-53.055,410840,6013449,PSF PINHEIRAO,RUA AMAZONAS ESQUINA COM JUNDIAI,PINHEIRAO,Francisco Beltrão,4635271009,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,PR,Francisco Beltrão,ESF PINHEIRAO,RUA AMAZONAS ESQUINA COM JUNDIAI - S/N,PINHEIRAO,41,Paraná
193,-24.956,-53.455,410480,2736934,CENTRO DE SAUDE SANTA CRUZ,RUA XAVANTES,SANTA CRUZ,Cascavel,4539021888,Desempenho acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,PR,Cascavel,UBS SANTA CRUZ,RUA XAVANTES - 729,SANTA CRUZ,41,Paraná
194,-23.184,-52.205,411690,6624707,CLINICA DA MULHER E DA CRIANCA NOVA ESPERANCA,ROMARIO MARTINS,CENTRO,Nova Esperança,4432521663,Desempenho muito acima da média,Desempenho muito acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Nova Esperança,POLICLINICA DR ELIO DUARTE DIAS,ROMARIO MARTINS - S/N,CENTRO,41,Paraná
195,-26.228,-52.032,410645,2620219,POSTO DE SAUDE ZUGMAM CORONEL DOMINGOS SOARES,ZUGMAM,INTERIOR,Coronel Domingos Soares,46 3263-1629,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,PR,Coronel Domingos Soares,POSTO DE SAUDE ZUGMAM CORONEL DOMINGOS SOARES,ZUGMAM - 1,INTERIOR,41,Paraná
196,-26.081,-53.055,410840,5708400,PSF CRISTO REI,RUA SANTO ANTONIO COM SETE DE SETEMBRO,CRISTO REI,Francisco Beltrão,35249654,Desempenho mediano ou  um pouco abaixo da média,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho muito acima da média,PR,Francisco Beltrão,ESF CRISTO REI,RUA SANTO ANTONIO COM SETE DE SETEMBRO - 461,CRISTO REI,41,Paraná
197,-25.881,-52.908,412860,2585901,POSTO DE SAUDE DE SEDE PROGRESSO VERE,RUA PRINCIPAL,CENTRO,Verê,(46)5671149,Desempenho acima da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Verê,POSTO DE SAUDE DE SEDE PROGRESSO VERE,RUA PRINCIPAL - S/N,DISTRITO DE SEDE PRO,41,Paraná
198,-25.395,-51.458,410940,3722988,PSF ENTRE RIOS II,INTERIOR,ENTRE RIOS,Guarapuava,36251893,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Guarapuava,ESF ENTRE RIOS II,RUA PARANA - 400,ENTRE RIOS,41,Paraná
199,-22.766,-52.985,411710,6044360,UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA,RUA BELO HORIZONTE,CONJ HAB JOAO PAUL,Nova Londrina,4434323061,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Nova Londrina,UNIDADE DE ATENCAO PRIMARIA SAUDE DA FAMILIA,RUA BELO HORIZONTE - 53,CONJ HAB JOAO PAUL,41,Paraná
200,-25.436,-53.408,410305,6802044,UNIDADE BASICA DE SAUDE DA FAMILIA PROGRESSO,LINHA PROGRESSO,LINHA,Boa Vista da Aparecida,Não se aplica,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,Desempenho mediano ou  um pouco abaixo da média,PR,Boa Vista da Aparecida,UNIDADE BASICA DE SAUDE DA FAMILIA PROGRESSO ANTONIA Z ZENI,LINHA PROGRESSO - S/N,LINHA,41,Paraná
